transaction_id,timestamp,account_number,amount,currency,transaction_type,description,status,channel
TX1000036,2025-03-22 06:51:12,49533979,201.25,GBP,DEPOSIT,"Online purchase at Virgin Media",COMPLETED,TELEPHONE
TX1000037,2025-03-14 22:24:11,15156560,101.53,GBP,INTEREST,"In-store purchase at Boots",COMPLETED,MOBILE
TX1000038,2025-04-02 01:11:03,48136547,673.74,GBP,TRANSFER,"Deposit from Spotify",COMPLETED,STANDING_ORDER
TX1000039,2025-03-15 17:07:48,88582373,85.45,GBP,PAYMENT,"International transfer to John Lewis",COMPLETED,ATM
TX1000040,2025-04-01 18:19:00,14428068,201.11,CHF,FEE,"Transfer to Virgin Media",REFUNDED,ATM
TX1000041,2025-03-13 23:16:12,13367201,20.94,GBP,WITHDRAWAL,"Direct debit for EasyJet",COMPLETED,ATM
TX1000042,2025-03-21 03:06:12,92292818,403.72,USD,TRANSFER,"Interest payment from Just Eat",COMPLETED,ATM
TX1000043,2025-03-21 06:08:08,54829145,28.99,GBP,TRANSFER,"Subscription payment to Sainsbury's",COMPLETED,ATM
TX1000044,2025-04-07 06:21:12,16794343,263.61,GBP,INTEREST,"Online purchase at NatWest Bank",COMPLETED,ATM
TX1000045,2025-03-28 11:07:27,16051114,92.55,GBP,DEPOSIT,"Online purchase at Lloyds Bank",COMPLETED,BRANCH
TX1000046,2025-04-02 20:07:26,78710089,15.88,CHF,WITHDRAWAL,"Interest payment from EDF Energy",COMPLETED,STANDING_ORDER
TX1000047,2025-03-11 07:20:42,27837524,453.17,GBP,PAYMENT,"Standing order to Virgin Media",COMPLETED,MOBILE
TX1000048,2025-03-19 00:04:55,57295836,50.89,GBP,WITHDRAWAL,"Standing order to HSBC Bank",COMPLETED,BRANCH
TX1000049,2025-03-18 09:29:04,13220097,471.76,GBP,EXCHANGE,"Faster payment to McDonald's",COMPLETED,ONLINE
TX1000050,2025-03-21 23:27:42,85484988,488.88,CHF,WITHDRAWAL,"Exchange to Lloyds Bank",COMPLETED,MOBILE
TX1000051,2025-04-03 10:40:24,61609640,875.90,CAD,EXCHANGE,"Faster payment to Premier Inn",REFUNDED,DIRECT_DEBIT
TX1000052,2025-03-28 22:21:27,60142716,16.05,GBP,TRANSFER,"Deposit from Boots",FAILED,ONLINE
TX1000053,2025-03-14 13:31:26,62178808,392.54,CHF,EXCHANGE,"International transfer to Transport for London",REJECTED,ATM
TX1000054,2025-03-17 04:24:12,46683682,179.75,EUR,EXCHANGE,"Deposit from KFC",COMPLETED,ONLINE
TX1000055,2025-03-25 11:10:13,57239393,48.25,GBP,PAYMENT,"Interest payment from ASOS",COMPLETED,BRANCH
TX1000056,2025-03-31 01:48:03,21980488,597.92,GBP,DEPOSIT,"Subscription payment to Spotify",PENDING,STANDING_ORDER
TX1000057,2025-03-24 00:17:21,28343407,134.35,AUD,WITHDRAWAL,"Deposit from Ryanair",COMPLETED,DIRECT_DEBIT
TX1000058,2025-03-16 18:04:58,82098657,114.95,CAD,TRANSFER,"Exchange to Virgin Media",COMPLETED,ONLINE
TX1000059,2025-03-10 08:53:57,68740751,237.19,GBP,FEE,"Interest payment from Virgin Media",COMPLETED,ONLINE
TX1000060,2025-03-24 03:18:58,10894346,91.98,EUR,PAYMENT,"Fee for service from EDF Energy",COMPLETED,MOBILE
TX1000061,2025-04-01 18:24:59,68562781,947.73,GBP,PAYMENT,"Direct debit for Starbucks",COMPLETED,ONLINE
TX1000062,2025-03-24 18:22:45,30746794,18.52,AUD,FEE,"Standing order to Costa Coffee",COMPLETED,ATM
TX1000063,2025-04-02 06:25:38,22077840,416.24,USD,WITHDRAWAL,"Online purchase at Sainsbury's",COMPLETED,STANDING_ORDER
TX1000064,2025-03-28 09:01:45,87646827,132.46,JPY,PAYMENT,"Payment to ASOS",COMPLETED,TELEPHONE
TX1000065,2025-03-10 15:19:56,30769185,31.00,GBP,TRANSFER,"Bill payment to ASOS",FAILED,ONLINE
TX1000066,2025-03-24 13:11:36,10566200,728.78,GBP,WITHDRAWAL,"Deposit from John Lewis",CANCELLED,ATM
TX1000067,2025-03-10 10:09:43,85942859,165.32,USD,FEE,"Transfer to Sky UK",FAILED,ATM
TX1000068,2025-04-04 22:50:02,97287096,749.98,CAD,TRANSFER,"Online purchase at Premier Inn",COMPLETED,ONLINE
TX1000069,2025-03-20 01:21:21,99808604,179.06,GBP,EXCHANGE,"Subscription payment to Vodafone UK",COMPLETED,BRANCH
TX1000070,2025-03-31 21:17:09,71043777,422.60,GBP,INTEREST,"Subscription payment to KFC",COMPLETED,ONLINE
TX1000071,2025-03-10 19:01:40,79595279,226.39,GBP,INTEREST,"Fee for service from Ryanair",COMPLETED,MOBILE
TX1000072,2025-04-03 05:00:45,23892525,355.81,GBP,DEPOSIT,"Deposit from McDonald's",COMPLETED,ATM
TX1000073,2025-04-02 08:14:34,13772331,236.74,AUD,TRANSFER,"Fee for service from Just Eat",COMPLETED,ONLINE
TX1000074,2025-03-27 16:23:09,37022118,263.12,GBP,EXCHANGE,"Interest payment from Just Eat",CANCELLED,ONLINE
TX1000075,2025-03-27 14:37:42,43552248,110.65,GBP,DEPOSIT,"Standing order to British Gas",REJECTED,MOBILE
TX1000076,2025-04-05 08:30:37,93182987,130.50,AUD,INTEREST,"Online purchase at Spotify",COMPLETED,ONLINE
TX1000077,2025-04-01 14:00:45,51625039,578.94,GBP,EXCHANGE,"Transfer to Just Eat",COMPLETED,ONLINE
TX1000078,2025-03-23 05:40:43,13541642,79.77,GBP,TRANSFER,"Subscription payment to ASOS",COMPLETED,DIRECT_DEBIT
TX1000079,2025-03-31 19:06:23,13585358,288.94,USD,FEE,"In-store purchase at Just Eat",COMPLETED,TELEPHONE
TX1000080,2025-03-10 20:57:27,72926437,245.98,USD,DEPOSIT,"Bill payment to Sky UK",COMPLETED,BRANCH
TX1000081,2025-03-28 05:33:35,45002068,319.88,GBP,FEE,"Bill payment to Virgin Media",COMPLETED,TELEPHONE
TX1000082,2025-04-07 20:30:39,99769288,129.58,CAD,WITHDRAWAL,"Bill payment to Uber",COMPLETED,TELEPHONE
TX1000083,2025-04-02 23:09:56,95374881,125.25,CAD,EXCHANGE,"Standing order to Lloyds Bank",COMPLETED,STANDING_ORDER
TX1000084,2025-04-07 18:18:04,25654087,117.42,GBP,INTEREST,"In-store purchase at British Gas",COMPLETED,BRANCH
TX1000085,2025-03-23 02:27:27,48462266,339.67,CHF,DEPOSIT,"Payment to British Gas",COMPLETED,DIRECT_DEBIT
TX1000086,2025-03-18 09:02:44,24690257,457.90,GBP,INTEREST,"Standing order to EDF Energy",FAILED,ATM
TX1000087,2025-03-16 22:34:59,23769473,23.88,JPY,WITHDRAWAL,"In-store purchase at EDF Energy",COMPLETED,STANDING_ORDER
TX1000088,2025-03-28 00:53:56,64337188,320.38,GBP,FEE,"Deposit from NatWest Bank",COMPLETED,BRANCH
TX1000089,2025-04-01 23:38:59,63013465,223.84,GBP,FEE,"Online purchase at KFC",COMPLETED,ONLINE
TX1000090,2025-03-18 08:40:44,74937881,72.81,GBP,DEPOSIT,"Online purchase at Marks & Spencer",FAILED,DIRECT_DEBIT
TX1000091,2025-04-07 14:03:02,30494931,51.97,GBP,INTEREST,"Exchange to Costa Coffee",COMPLETED,MOBILE
TX1000092,2025-03-22 11:13:58,39734046,60.58,GBP,WITHDRAWAL,"Withdrawal for Just Eat",COMPLETED,ONLINE
TX1000093,2025-03-17 16:12:29,18224545,178.61,AUD,TRANSFER,"Faster payment to EDF Energy",REJECTED,ONLINE
TX1000094,2025-03-27 23:46:57,77951443,324.20,GBP,EXCHANGE,"Faster payment to Costa Coffee",REFUNDED,TELEPHONE
TX1000095,2025-04-02 18:45:04,90548773,145.79,GBP,EXCHANGE,"Direct debit for EDF Energy",COMPLETED,BRANCH
TX1000096,2025-03-16 19:18:29,94832663,48.34,GBP,FEE,"Deposit from Transport for London",COMPLETED,STANDING_ORDER
TX1000097,2025-03-31 12:32:41,54162227,590.10,CHF,FEE,"Withdrawal for EasyJet",REFUNDED,BRANCH
TX1000098,2025-03-17 00:37:32,99522161,701.53,JPY,INTEREST,"Standing order to Vodafone UK",COMPLETED,DIRECT_DEBIT
TX1000099,2025-03-20 11:16:52,61897464,46.89,CAD,WITHDRAWAL,"International transfer to Spotify",COMPLETED,STANDING_ORDER
TX1000100,2025-03-11 23:26:43,81883634,410.49,USD,FEE,"Interest payment from KFC",COMPLETED,ONLINE
TX1000101,2025-03-26 07:48:47,19866119,644.94,GBP,WITHDRAWAL,"International transfer to Amazon UK",COMPLETED,ONLINE
TX1000102,2025-03-12 08:47:43,55844666,282.90,GBP,TRANSFER,"Transfer to Barclays Bank",COMPLETED,STANDING_ORDER
TX1000103,2025-03-28 21:28:18,76519101,7.54,CAD,PAYMENT,"Direct debit for McDonald's",CANCELLED,TELEPHONE
TX1000104,2025-03-30 21:57:09,29454843,183.40,JPY,EXCHANGE,"Exchange to KFC",COMPLETED,MOBILE
TX1000105,2025-03-11 06:18:23,89169275,57.10,GBP,PAYMENT,"Deposit from BT Group",COMPLETED,BRANCH
TX1000106,2025-03-28 05:11:16,52964793,272.56,GBP,PAYMENT,"Interest payment from Spotify",COMPLETED,TELEPHONE
TX1000107,2025-04-05 07:25:40,39707014,249.08,GBP,TRANSFER,"Fee for service from Netflix",COMPLETED,ATM
TX1000108,2025-03-29 20:29:24,28504738,23.89,CAD,EXCHANGE,"International transfer to Sainsbury's",REFUNDED,DIRECT_DEBIT
TX1000109,2025-04-02 09:21:45,80054866,59.53,GBP,TRANSFER,"Bill payment to Lloyds Bank",COMPLETED,TELEPHONE
TX1000110,2025-03-28 12:12:13,96026707,419.56,GBP,DEPOSIT,"Bill payment to British Airways",COMPLETED,ONLINE
TX1000111,2025-04-03 10:51:36,56193226,804.76,USD,PAYMENT,"Exchange to NatWest Bank",REJECTED,MOBILE
TX1000112,2025-03-24 02:07:08,84012153,88.60,JPY,WITHDRAWAL,"Direct debit for Just Eat",COMPLETED,BRANCH
TX1000113,2025-03-30 09:46:12,23128399,56.64,AUD,PAYMENT,"Withdrawal for Premier Inn",COMPLETED,MOBILE
TX1000114,2025-03-15 00:03:23,60499482,709.56,GBP,EXCHANGE,"Withdrawal for Deliveroo",COMPLETED,BRANCH
TX1000115,2025-03-23 10:31:30,20475827,122.88,AUD,INTEREST,"Fee for service from Spotify",REJECTED,BRANCH
TX1000116,2025-03-17 09:33:25,47200100,515.38,CAD,EXCHANGE,"Withdrawal for BT Group",COMPLETED,ONLINE
TX1000117,2025-03-10 17:42:46,22808666,613.59,USD,PAYMENT,"Transfer to McDonald's",REJECTED,ONLINE
TX1000118,2025-04-02 11:18:45,52299950,490.81,JPY,DEPOSIT,"Faster payment to Starbucks",COMPLETED,MOBILE
TX1000119,2025-03-21 23:56:59,76956412,126.51,GBP,TRANSFER,"Faster payment to Just Eat",COMPLETED,ONLINE
TX1000120,2025-03-22 03:44:07,84007095,64.16,GBP,TRANSFER,"Online purchase at Ryanair",COMPLETED,MOBILE
TX1000121,2025-04-06 01:08:31,54195036,35.70,AUD,DEPOSIT,"Withdrawal for Spotify",COMPLETED,DIRECT_DEBIT
TX1000122,2025-03-17 21:43:59,84727745,711.95,USD,DEPOSIT,"Withdrawal for HSBC Bank",COMPLETED,BRANCH
TX1000123,2025-03-25 13:41:35,72964016,98.28,CHF,FEE,"Deposit from Just Eat",COMPLETED,STANDING_ORDER
TX1000124,2025-04-05 20:18:33,65953970,168.75,EUR,DEPOSIT,"Deposit from Boots",PENDING,BRANCH
TX1000125,2025-03-29 23:06:52,53050269,35.29,CAD,WITHDRAWAL,"Exchange to Sainsbury's",COMPLETED,STANDING_ORDER
TX1000126,2025-03-19 20:15:31,14499147,183.56,EUR,EXCHANGE,"Subscription payment to Deliveroo",COMPLETED,DIRECT_DEBIT
TX1000127,2025-03-31 05:50:20,60719190,291.82,GBP,TRANSFER,"Exchange to Premier Inn",REJECTED,BRANCH
TX1000128,2025-03-10 19:47:02,94141506,94.16,GBP,TRANSFER,"Interest payment from Ryanair",COMPLETED,ATM
TX1000129,2025-03-18 16:24:58,12314663,88.65,GBP,PAYMENT,"Faster payment to Lloyds Bank",CANCELLED,DIRECT_DEBIT
TX1000130,2025-03-23 23:08:43,73236152,392.50,GBP,DEPOSIT,"Online purchase at Transport for London",COMPLETED,MOBILE
TX1000131,2025-04-04 10:06:50,58310169,603.54,AUD,PAYMENT,"Direct debit for Costa Coffee",COMPLETED,DIRECT_DEBIT
TX1000132,2025-04-06 10:31:53,63253423,158.04,GBP,WITHDRAWAL,"Exchange to Boots",FAILED,ONLINE
TX1000133,2025-03-14 15:21:27,73303025,216.29,GBP,TRANSFER,"Withdrawal for Pret A Manger",CANCELLED,BRANCH
TX1000134,2025-04-06 05:10:04,27254318,124.18,GBP,EXCHANGE,"In-store purchase at EasyJet",COMPLETED,ATM
TX1000135,2025-03-27 04:15:36,91679275,95.86,GBP,FEE,"Withdrawal for British Gas",COMPLETED,MOBILE
TX1000136,2025-04-02 09:33:46,18388283,78.12,GBP,FEE,"In-store purchase at HSBC Bank",CANCELLED,BRANCH
TX1000137,2025-03-16 03:20:59,68149466,170.93,AUD,DEPOSIT,"Standing order to KFC",COMPLETED,ONLINE
TX1000138,2025-04-05 06:56:31,22567359,354.47,GBP,EXCHANGE,"In-store purchase at Costa Coffee",COMPLETED,TELEPHONE
TX1000139,2025-04-04 06:04:10,28311116,415.94,CAD,FEE,"Interest payment from Netflix",FAILED,DIRECT_DEBIT
TX1000140,2025-04-08 07:55:01,42628687,115.76,CAD,PAYMENT,"Transfer to Sky UK",COMPLETED,ATM
TX1000141,2025-03-21 17:34:51,71642359,54.11,AUD,FEE,"In-store purchase at Nando's",COMPLETED,MOBILE
TX1000142,2025-03-24 15:00:09,87897440,31.30,USD,WITHDRAWAL,"Subscription payment to Just Eat",CANCELLED,ATM
TX1000143,2025-03-17 22:53:08,84221981,96.07,GBP,TRANSFER,"Payment to HSBC Bank",COMPLETED,ONLINE
TX1000144,2025-03-17 02:12:24,50833407,233.09,CAD,FEE,"In-store purchase at Uber",PENDING,ONLINE
TX1000145,2025-04-05 09:38:37,62541400,173.38,CHF,DEPOSIT,"Transfer to British Airways",REFUNDED,MOBILE
TX1000146,2025-03-10 20:58:51,57135702,41.26,EUR,DEPOSIT,"Exchange to Netflix",REFUNDED,STANDING_ORDER
TX1000147,2025-03-10 09:26:44,94071730,258.80,GBP,TRANSFER,"Standing order to Uber",REFUNDED,ATM
TX1000148,2025-03-14 11:21:50,38081171,354.81,USD,PAYMENT,"Bill payment to NatWest Bank",REJECTED,DIRECT_DEBIT
TX1000149,2025-03-23 13:50:16,51282555,53.75,GBP,WITHDRAWAL,"Faster payment to BT Group",REJECTED,DIRECT_DEBIT
TX1000150,2025-03-15 18:20:09,50316398,58.72,GBP,FEE,"International transfer to Uber",REFUNDED,MOBILE
TX1000151,2025-03-28 17:37:12,47478837,552.50,GBP,FEE,"Deposit from Thames Water",COMPLETED,ONLINE
TX1000152,2025-03-17 04:00:45,22385256,60.55,GBP,WITHDRAWAL,"Bill payment to Virgin Media",COMPLETED,ATM
TX1000153,2025-03-31 18:29:00,69883914,488.02,GBP,DEPOSIT,"Direct debit for Spotify",COMPLETED,ATM
TX1000154,2025-03-23 00:59:21,28436387,160.83,EUR,EXCHANGE,"Standing order to Boots",COMPLETED,STANDING_ORDER
TX1000155,2025-03-23 13:30:56,85377389,326.77,GBP,EXCHANGE,"Bill payment to BT Group",COMPLETED,DIRECT_DEBIT
TX1000156,2025-03-24 16:48:38,86439875,215.01,GBP,EXCHANGE,"Payment to Lloyds Bank",COMPLETED,STANDING_ORDER
TX1000157,2025-03-14 21:59:16,14909214,85.42,JPY,INTEREST,"Direct debit for Vodafone UK",COMPLETED,DIRECT_DEBIT
TX1000158,2025-04-06 01:18:47,91677286,99.90,AUD,WITHDRAWAL,"Online purchase at HSBC Bank",COMPLETED,MOBILE
TX1000159,2025-03-23 15:02:25,87046390,211.54,GBP,EXCHANGE,"Transfer to KFC",REFUNDED,BRANCH
TX1000160,2025-03-19 14:34:52,68557260,200.31,AUD,WITHDRAWAL,"Online purchase at Netflix",COMPLETED,STANDING_ORDER
TX1000161,2025-03-14 18:53:21,92696631,34.64,CAD,EXCHANGE,"Exchange to Ryanair",COMPLETED,ONLINE
TX1000162,2025-03-18 05:27:00,95208425,44.09,GBP,PAYMENT,"Faster payment to British Gas",COMPLETED,BRANCH
TX1000163,2025-03-10 19:39:24,85304334,49.11,JPY,INTEREST,"Interest payment from Costa Coffee",COMPLETED,BRANCH
TX1000164,2025-03-17 23:02:39,86783350,411.80,CAD,WITHDRAWAL,"In-store purchase at Costa Coffee",COMPLETED,MOBILE
TX1000165,2025-03-31 22:56:49,25056790,244.85,GBP,TRANSFER,"Deposit from Costa Coffee",REJECTED,ONLINE
TX1000166,2025-04-04 11:34:33,73162667,70.57,GBP,FEE,"Exchange to Nando's",COMPLETED,MOBILE
TX1000167,2025-03-15 11:12:32,52963495,151.25,USD,DEPOSIT,"Transfer to Premier Inn",COMPLETED,BRANCH
TX1000168,2025-03-13 17:03:19,98649601,39.39,GBP,WITHDRAWAL,"In-store purchase at Transport for London",COMPLETED,MOBILE
TX1000169,2025-04-02 03:51:26,12864124,5.00,AUD,INTEREST,"Standing order to Thames Water",COMPLETED,MOBILE
TX1000170,2025-03-14 05:35:34,36060582,90.83,GBP,TRANSFER,"Bill payment to HSBC Bank",COMPLETED,ONLINE
TX1000171,2025-04-08 05:22:30,34407795,225.81,GBP,DEPOSIT,"Standing order to British Airways",COMPLETED,MOBILE
TX1000172,2025-03-19 07:33:02,61905351,40.74,EUR,INTEREST,"Subscription payment to Netflix",COMPLETED,TELEPHONE
TX1000173,2025-03-11 18:23:40,64286154,514.06,CHF,EXCHANGE,"Direct debit for Lloyds Bank",REFUNDED,ATM
TX1000174,2025-03-28 16:55:51,84649196,22.09,EUR,FEE,"Fee for service from Transport for London",COMPLETED,TELEPHONE
TX1000175,2025-03-10 17:49:08,10061451,21.95,USD,TRANSFER,"Withdrawal for EasyJet",COMPLETED,STANDING_ORDER
TX1000176,2025-03-31 04:22:22,53728303,330.28,GBP,DEPOSIT,"International transfer to Vodafone UK",COMPLETED,ONLINE
TX1000177,2025-03-26 20:32:29,29546126,108.98,GBP,FEE,"International transfer to Amazon UK",COMPLETED,ONLINE
TX1000178,2025-03-27 19:27:00,17716666,27.72,GBP,EXCHANGE,"Deposit from John Lewis",REFUNDED,ATM
TX1000179,2025-04-04 02:11:51,35031428,11.62,GBP,PAYMENT,"Interest payment from EDF Energy",COMPLETED,ATM
TX1000180,2025-03-18 20:56:11,48880579,248.17,USD,TRANSFER,"Interest payment from Nando's",REFUNDED,MOBILE
TX1000181,2025-03-31 08:48:56,44995823,106.61,EUR,PAYMENT,"Deposit from Sky UK",PENDING,BRANCH
TX1000182,2025-03-23 05:13:09,67241954,33.57,JPY,TRANSFER,"Withdrawal for EasyJet",REFUNDED,ONLINE
TX1000183,2025-03-31 20:19:54,77962601,469.27,CHF,FEE,"Subscription payment to Sainsbury's",COMPLETED,ATM
TX1000184,2025-03-28 00:18:21,23054495,5.00,GBP,TRANSFER,"Direct debit for Transport for London",COMPLETED,BRANCH
TX1000185,2025-03-16 05:05:29,48088216,5.00,EUR,PAYMENT,"Subscription payment to Amazon UK",COMPLETED,STANDING_ORDER
TX1000186,2025-03-15 04:43:40,77671561,779.94,USD,PAYMENT,"Payment to Costa Coffee",REFUNDED,ATM
TX1000187,2025-03-29 12:19:45,82433568,10.53,GBP,EXCHANGE,"Transfer to Starbucks",COMPLETED,TELEPHONE
TX1000188,2025-03-13 17:33:03,58225284,355.56,AUD,FEE,"Faster payment to HSBC Bank",COMPLETED,STANDING_ORDER
TX1000189,2025-03-13 19:59:41,17713370,1048.65,GBP,TRANSFER,"Standing order to Amazon UK",CANCELLED,BRANCH
TX1000190,2025-03-18 15:04:36,83822360,498.02,GBP,PAYMENT,"Bill payment to British Airways",COMPLETED,TELEPHONE
TX1000191,2025-04-07 10:44:16,68143131,5.00,CHF,INTEREST,"Interest payment from British Gas",COMPLETED,TELEPHONE
TX1000192,2025-03-17 13:21:56,40650887,35.06,GBP,EXCHANGE,"Faster payment to Transport for London",COMPLETED,DIRECT_DEBIT
TX1000193,2025-03-18 07:22:58,51416070,590.80,GBP,FEE,"International transfer to Thames Water",REJECTED,MOBILE
TX1000194,2025-03-19 06:50:49,16737292,126.24,CHF,FEE,"Deposit from Virgin Media",REJECTED,STANDING_ORDER
TX1000195,2025-03-10 14:30:22,79742798,114.46,GBP,EXCHANGE,"Faster payment to British Gas",PENDING,ONLINE
TX1000196,2025-03-20 08:10:12,20901815,189.08,CAD,EXCHANGE,"Online purchase at Starbucks",COMPLETED,TELEPHONE
TX1000197,2025-03-18 08:41:47,80046775,5.00,EUR,FEE,"Transfer to Ryanair",COMPLETED,TELEPHONE
TX1000198,2025-03-28 19:00:21,60407693,303.62,USD,WITHDRAWAL,"Standing order to Transport for London",COMPLETED,BRANCH
TX1000199,2025-03-25 04:39:43,47126291,166.16,CHF,TRANSFER,"Exchange to Sainsbury's",COMPLETED,DIRECT_DEBIT
TX1000200,2025-03-31 01:32:09,20683318,200.43,USD,WITHDRAWAL,"Online purchase at Spotify",COMPLETED,TELEPHONE
TX1000201,2025-04-07 01:57:22,57899096,389.73,USD,WITHDRAWAL,"Subscription payment to Sky UK",COMPLETED,STANDING_ORDER
TX1000202,2025-03-20 04:59:18,23361980,60.29,CAD,WITHDRAWAL,"Subscription payment to Transport for London",COMPLETED,STANDING_ORDER
TX1000203,2025-03-12 11:00:22,73636696,6.66,JPY,DEPOSIT,"Faster payment to Nando's",COMPLETED,ONLINE
TX1000204,2025-04-07 22:57:47,98494497,529.04,AUD,PAYMENT,"In-store purchase at BT Group",COMPLETED,MOBILE
TX1000205,2025-03-19 15:09:17,77476575,88.04,GBP,TRANSFER,"Faster payment to Boots",COMPLETED,MOBILE
TX1000206,2025-03-22 10:08:46,55526232,149.97,GBP,EXCHANGE,"Subscription payment to Tesco",COMPLETED,STANDING_ORDER
TX1000207,2025-03-20 00:12:43,65943400,847.86,GBP,TRANSFER,"Withdrawal for ASOS",COMPLETED,DIRECT_DEBIT
TX1000208,2025-04-01 15:08:33,94166161,58.80,GBP,EXCHANGE,"Standing order to Barclays Bank",COMPLETED,TELEPHONE
TX1000209,2025-04-02 01:04:12,44513595,190.22,GBP,INTEREST,"In-store purchase at Vodafone UK",COMPLETED,BRANCH
TX1000210,2025-03-15 01:21:03,52587110,200.06,GBP,DEPOSIT,"In-store purchase at Boots",PENDING,ONLINE
TX1000211,2025-03-23 08:27:10,44049877,213.02,GBP,DEPOSIT,"Online purchase at Ryanair",COMPLETED,BRANCH
TX1000212,2025-03-23 07:31:00,87678369,42.02,JPY,FEE,"Withdrawal for Sky UK",COMPLETED,MOBILE
TX1000213,2025-03-26 14:06:10,22423851,187.48,GBP,FEE,"Interest payment from Amazon UK",REFUNDED,TELEPHONE
TX1000214,2025-03-14 02:01:04,30722094,20.84,GBP,WITHDRAWAL,"Transfer to BT Group",COMPLETED,TELEPHONE
